row_id,judge,court,date,source,column_name,rg_summary
0,Judge Karen E. Scott,C.D. Cal.,,rails,prohibited,
0,Judge Karen E. Scott,C.D. Cal.,,rails,disclose_ai_tool_used,
0,Judge Karen E. Scott,C.D. Cal.,,rails,disclose_how_ai_tool_used,
0,Judge Karen E. Scott,C.D. Cal.,,rails,identify_sections_drafted_with_ai,
0,Judge Karen E. Scott,C.D. Cal.,,rails,disclose_process_used_to_check_accuracy,
0,Judge Karen E. Scott,C.D. Cal.,,rails,certify_accuracy_non_use_on_notice,
0,Judge Karen E. Scott,C.D. Cal.,,rails,certify_accuracy_if_planning_to_use_ai,
0,Judge Karen E. Scott,C.D. Cal.,,rails,certify_no_unauthorized_disclosure,
0,Judge Karen E. Scott,C.D. Cal.,,rails,certify_accuracy_w_each_filing_if_ai_used,
0,Judge Karen E. Scott,C.D. Cal.,,rails,maintain_ai_prompt_records,
0,Judge Karen E. Scott,C.D. Cal.,,rails,proprietary_info_nondisclosure_req,
0,Judge Karen E. Scott,C.D. Cal.,,rails,disclose_ai_generated_evidence,
0,Judge Karen E. Scott,C.D. Cal.,,rails,notice_to_opposing_parties_ai_evidence,
0,Judge Karen E. Scott,C.D. Cal.,,rails,ai_to_record_in_courtroom,
1,Judge Aaron D. Maslow,"Supreme Court, Kings County",,rails,prohibited,
1,Judge Aaron D. Maslow,"Supreme Court, Kings County",,rails,disclose_how_ai_tool_used,
1,Judge Aaron D. Maslow,"Supreme Court, Kings County",,rails,disclose_process_used_to_check_accuracy,
1,Judge Aaron D. Maslow,"Supreme Court, Kings County",,rails,certify_accuracy_non_use_on_notice,
1,Judge Aaron D. Maslow,"Supreme Court, Kings County",,rails,certify_accuracy_if_planning_to_use_ai,
1,Judge Aaron D. Maslow,"Supreme Court, Kings County",,rails,certify_no_unauthorized_disclosure,
1,Judge Aaron D. Maslow,"Supreme Court, Kings County",,rails,certify_accuracy_w_each_filing_if_ai_used,
1,Judge Aaron D. Maslow,"Supreme Court, Kings County",,rails,just_a_warning,
1,Judge Aaron D. Maslow,"Supreme Court, Kings County",,rails,maintain_ai_prompt_records,
1,Judge Aaron D. Maslow,"Supreme Court, Kings County",,rails,proprietary_info_nondisclosure_req,
1,Judge Aaron D. Maslow,"Supreme Court, Kings County",,rails,disclose_ai_generated_evidence,
1,Judge Aaron D. Maslow,"Supreme Court, Kings County",,rails,notice_to_opposing_parties_ai_evidence,
1,Judge Aaron D. Maslow,"Supreme Court, Kings County",,rails,ai_to_record_in_courtroom,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,prohibited,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,disclose_ai_tool_used,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,disclose_how_ai_tool_used,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,identify_sections_drafted_with_ai,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,disclose_process_used_to_check_accuracy,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,certify_accuracy_if_planning_to_use_ai,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,certify_no_unauthorized_disclosure,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,certify_accuracy_w_each_filing_if_ai_used,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,just_a_warning,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,maintain_ai_prompt_records,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,proprietary_info_nondisclosure_req,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,disclose_ai_generated_evidence,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,notice_to_opposing_parties_ai_evidence,
2,Judge Brantley Starr,N.D. Tex.,2023-05,rails,ai_to_record_in_courtroom,
3,Magistrate Judge Gabriel A. Fuentes,N.D. Ill.,2023-05,rails,prohibited,
3,Magistrate Judge Gabriel A. Fuentes,N.D. Ill.,2023-05,rails,disclose_ai_tool_used,
3,Magistrate Judge Gabriel A. Fuentes,N.D. Ill.,2023-05,rails,disclose_how_ai_tool_used,
3,Magistrate Judge Gabriel A. Fuentes,N.D. Ill.,2023-05,rails,identify_sections_drafted_with_ai,
3,Magistrate Judge Gabriel A. Fuentes,N.D. Ill.,2023-05,rails,disclose_process_used_to_check_accuracy,
3,Magistrate Judge Gabriel A. Fuentes,N.D. Ill.,2023-05,rails,certify_accuracy_non_use_on_notice,
3,Magistrate Judge Gabriel A. Fuentes,N.D. Ill.,2023-05,rails,certify_accuracy_if_planning_to_use_ai,
3,Magistrate Judge Gabriel A. Fuentes,N.D. Ill.,2023-05,rails,certify_no_unauthorized_disclosure,
3,Magistrate Judge Gabriel A. Fuentes,N.D. Ill.,2023-05,rails,certify_accuracy_w_each_filing_if_ai_used,
3,Magistrate Judge Gabriel A. Fuentes,N.D. Ill.,2023-05,rails,just_a_warning,
3,Magistrate Judge Gabriel A. Fuentes,N.D. Ill.,2023-05,rails,maintain_ai_prompt_records,
3,Magistrate Judge Gabriel A. Fuentes,N.D. Ill.,2023-05,rails,proprietary_info_nondisclosure_req,
